user,tweet_id,datetime,url,possible_sensitive,text
954653492454576128,1506043185155428355,1647903650,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high https://t.co/3WCjea7zvK
200838452,1505995047761756160,1647892174,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high — RT Business News https://t.co/N9vYKqy3IB
189090002,1505981186631516166,1647888869,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high https://t.co/fUgCfpeSgy
30701862,1505958869503291396,1647883548,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high https://t.co/zTkYReMqrn
1430729152772993024,1505957179974889472,1647883145,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,"They didn't know they were shooting themselves in the foot in the rush to sanction Russia?

""Data shows that the unprecedented growth in production costs, which is commonly a leading indicator for consumer prices, was the biggest since 1949.""
 https://t.co/lf5ehV9DEp https://t.co/7QXDHFS3Ho"
2820027419,1505942456747110412,1647879635,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high — RT Business News https://t.co/jegJ0oNj9H
2430139982,1505936307167580169,1647878169,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high — RT Business News https://t.co/loPJllW2Ih
172077209,1505935584694517765,1647877996,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high — RT Business News https://t.co/G5uzJTgyhB
1498652576061009925,1505930615643938823,1647876812,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,"As Germany bankrupted: Greece, Ireland, Portugal and Spain now Russia will bankrupt Germany. Do you see the irony?

German production costs smash 70-year high https://t.co/9vSi2vMIBc"
1427697522739486723,1505925026306002949,1647875479,https://www.rt.com/business/552397-germany-producers-prices-record-high/,0.0,German production costs smash 70-year high https://t.co/PHSQ4Ok3ar
