url,uuid
https://sputniknews.com/20220331/us-will-allow-india-to-buy-russian-oil-threatens-sanctions-if-new-delhi-buys-too-much-report-1094368069.html,3cff9334-cb60-45aa-a440-36c3ea9c8684
https://sputniknews.com/20220331/norwegian-intelligence-sees-no-alternatives-to-putin-1094346157.html,09cbfc30-fc91-42b1-96ec-7afbab86c216
https://www.rt.com/sport/553037-fifa-russian-official-language/,9c959b15-a5bd-4b56-b1b2-bc55b59fa87b
https://www.rt.com/russia/553039-ukraine-slovenia-flag-hide/,3a5ac32d-a96d-4051-8e79-dc913e22f6a1
https://sputniknews.com/20220331/poland-turning-into-natos-front-line-becoming-dangerous-for-europe-itself--medvedev-1094351628.html,7e1055f9-a731-4a55-a72e-8f3e84a61b61
https://www.rt.com/news/553070-uk-lethal-weapons-ukraine/,a474e368-1045-4ffc-9a83-4c060172c796
https://www.rt.com/sport/553030-fifa-congress-russia-membership-ukraine/,2b771065-dd60-4fa9-b161-0d54cb75de7b
https://www.rt.com/russia/553032-ukraine-arms-wishlist-revealed/,ac682839-5ccf-4738-896c-faed603a5abd
https://sputniknews.com/20220331/european-gas-futures-reach-1450-per-cubic-metres-on-putins-statement-on-ruble-payments-1094360652.html,58db583e-740d-4409-9951-fe6f902033bb
https://sputniknews.com/20220331/turkey-will-not-join-sanctions-against-russia---erdogan-1094356083.html,27a96b55-37b2-4ebf-ae32-573d746c78ec
https://www.rt.com/sport/553054-fifa-gianni-infantino-decision-russia/,bea1ed5b-a5ba-463f-8c40-7f7504f47a0a
https://sputniknews.com/20220331/european-commission-carries-out-unscheduled-raids-on-several-gas-supply-companies-in-germany-1094351493.html,535224b9-1654-4bc6-971d-ac4ef20f6d86
https://www.rt.com/shows/news/552955-rtnews-march-31-11msk/,0c91d867-1d99-4605-a782-36c9eb677ab1
https://www.rt.com/shows/news/553006-rtnews-march-31-17msk/,dc61157d-5f19-4739-badb-bca59b337a1c
https://sputniknews.com/20220331/nato-allies-split-on-ukraine-policy-russia-may-demand-ruble-for-all-exports-1094343896.html,45cfbbe5-0d22-43e4-b6ba-de3f299fdd8e
